time,healthy crops mean
1585.0,10.42
1586.0,10.4
1587.0,10.4
1588.0,10.4
1589.0,10.4
1590.0,10.39
1591.0,10.39
1592.0,10.38
1593.0,10.38
1594.0,10.35
1595.0,10.35
1596.0,10.35
1597.0,10.34
1598.0,10.34
1599.0,10.34
1600.0,10.33
1601.0,10.33
1602.0,10.31
1603.0,10.3
1604.0,10.29
1605.0,10.29
1606.0,10.29
1607.0,10.28
1608.0,10.28
1609.0,10.27
1610.0,10.26
1611.0,10.23
1612.0,10.21
1613.0,10.21
1614.0,10.21
1615.0,10.21
1616.0,10.21
1617.0,10.21
1618.0,10.21
1619.0,10.21
1620.0,10.2
1621.0,10.19
1622.0,10.18
1623.0,10.18
1624.0,10.18
1625.0,10.18
1626.0,10.18
1627.0,10.16
1628.0,10.16
1629.0,10.15
1630.0,10.15
1631.0,10.15
1632.0,10.15
1633.0,10.15
1634.0,10.14
1635.0,10.13
1636.0,10.12
1637.0,10.1
1638.0,10.1
1639.0,10.1
1640.0,10.1
1641.0,10.1
1642.0,10.1
1643.0,10.1
1644.0,10.1
1645.0,10.09
1646.0,10.07
1647.0,10.07
1648.0,10.05
1649.0,10.04
1650.0,10.04
1651.0,10.03
1652.0,10.02
1653.0,10.02
1654.0,10.01
1655.0,10.01
1656.0,10.01
1657.0,10.01
1658.0,10.0
1659.0,9.99
1660.0,9.99
