time,undetectable crops mean
1553.0,10.59
1554.0,10.56
1555.0,10.54
1556.0,10.53
1557.0,10.5
1558.0,10.49
1559.0,10.48
1560.0,10.47
1561.0,10.46
1562.0,10.45
1563.0,10.42
1564.0,10.41
1565.0,10.39
1566.0,10.38
1567.0,10.35
1568.0,10.3
1569.0,10.3
1570.0,10.3
1571.0,10.28
1572.0,10.28
1573.0,10.25
1574.0,10.26
1575.0,10.23
1576.0,10.22
1577.0,10.22
1578.0,10.22
1579.0,10.2
1580.0,10.16
1581.0,10.12
1582.0,10.09
1583.0,10.08
1584.0,10.07
1585.0,10.06
1586.0,10.07
1587.0,10.06
1588.0,10.01
1589.0,9.98
1590.0,9.99
1591.0,9.97
1592.0,9.95
1593.0,9.93
1594.0,9.93
1595.0,9.9
1596.0,9.9
1597.0,9.9
1598.0,9.9
1599.0,9.87
1600.0,9.86
1601.0,9.83
1602.0,9.81
1603.0,9.78
1604.0,9.78
1605.0,9.75
1606.0,9.71
1607.0,9.72
1608.0,9.71
1609.0,9.72
1610.0,9.72
1611.0,9.73
1612.0,9.71
1613.0,9.69
1614.0,9.66
1615.0,9.62
1616.0,9.61
1617.0,9.57
1618.0,9.56
1619.0,9.51
1620.0,9.48
1621.0,9.46
1622.0,9.46
1623.0,9.41
1624.0,9.37
1625.0,9.31
1626.0,9.29
1627.0,9.28
1628.0,9.28
1629.0,9.28
1630.0,9.27
1631.0,9.25
1632.0,9.22
1633.0,9.21
1634.0,9.2
1635.0,9.18
1636.0,9.15
1637.0,9.15
1638.0,9.12
1639.0,9.11
1640.0,9.09
1641.0,9.06
1642.0,9.05
1643.0,9.04
1644.0,9.03
1645.0,9.02
1646.0,9.01
1647.0,9.0
1648.0,9.0
1649.0,8.98
1650.0,8.97
1651.0,8.98
1652.0,8.99
1653.0,8.99
1654.0,9.0
1655.0,8.98
1656.0,8.97
1657.0,8.95
1658.0,8.94
1659.0,8.91
