Time,Susceptible,Exposed,Infected,Recovered
4.325,4,19,19,58
4.33,4,19,19,58
4.335,4,19,19,58
4.34,4,19,19,58
4.345,4,19,19,58
4.35,4,19,19,58
4.355,4,19,19,58
4.36,4,19,19,58
4.365,4,19,19,58
4.37,4,19,19,58
4.375,4,18,20,58
4.38,4,18,20,58
4.385,4,18,19,59
4.39,4,18,19,59
4.395,4,16,21,59
4.4,4,16,21,59
4.405,4,16,21,59
4.41,4,16,21,59
4.415,4,16,21,59
4.42,4,16,21,59
4.425,4,16,21,59
4.43,4,16,21,59
4.435,4,16,21,59
4.44,4,16,20,60
4.445,4,16,18,62
4.45,4,16,18,62
4.455,4,16,18,62
4.46,4,16,18,62
4.465,4,15,19,62
4.47,4,15,19,62
4.475,4,15,19,62
4.48,4,15,19,62
4.485,4,15,18,63
4.49,4,15,18,63
4.495,4,15,18,63
4.5,4,15,17,64
4.505,4,15,17,64
4.51,4,15,17,64
4.515,4,14,18,64
4.52,4,14,18,64
4.525,4,13,19,64
4.53,4,13,19,64
4.535,4,13,18,65
4.54,4,13,18,65
4.545,4,13,18,65
4.55,4,13,18,65
4.555,4,13,18,65
4.56,4,13,18,65
4.565,4,13,18,65
4.57,4,13,18,65
4.575,4,13,18,65
4.58,4,13,18,65
4.585,4,13,18,65
4.59,4,13,18,65
4.595,4,13,18,65
4.6,4,13,18,65
4.605,4,13,18,65
4.61,4,13,18,65
4.615,4,13,18,65
4.62,4,13,18,65
4.625,4,13,18,65
4.63,4,13,18,65
4.635,4,13,18,65
4.64,4,13,18,65
4.645,4,12,19,65
4.65,4,12,19,65
4.655,4,12,19,65
4.66,4,12,19,65
4.665,4,12,19,65
4.67,4,12,19,65
4.675,4,12,18,66
4.68,4,12,18,66
4.685,4,12,18,66
4.69,4,12,18,66
4.695,4,12,18,66
4.7,4,12,18,66
4.705,4,12,18,66
4.71,4,12,18,66
4.715,4,12,18,66
4.72,4,12,18,66
4.725,4,12,18,66
4.73,4,12,18,66
4.735,4,12,18,66
4.74,4,12,17,67
4.745,4,12,17,67
4.75,4,12,17,67
4.755,4,12,17,67
4.76,4,12,17,67
4.765,4,12,16,68
4.77,4,12,16,68
4.775,4,12,16,68
4.78,4,12,16,68
4.785,4,12,16,68
4.79,4,12,16,68
4.795,4,12,16,68
