time,State3Mean,state3STD
0.0861,0.04,0.195959
0.0862,0.04,0.195959
0.0863,0.04,0.195959
0.0864,0.04,0.195959
0.0865,0.04,0.195959
0.0866,0.04,0.195959
0.0867,0.04,0.195959
0.0868,0.04,0.195959
0.0869,0.04,0.195959
0.087,0.04,0.195959
0.0871,0.04,0.195959
0.0872,0.04,0.195959
0.0873,0.04,0.195959
0.0874,0.04,0.195959
0.0875,0.04,0.195959
0.0876,0.04,0.195959
0.0877,0.04,0.195959
0.0878,0.04,0.195959
0.0879,0.04,0.195959
0.088,0.04,0.195959
0.0881,0.04,0.195959
0.0882,0.04,0.195959
0.0883,0.04,0.195959
0.0884,0.04,0.195959
0.0885,0.04,0.195959
0.0886,0.05,0.217945
0.0887,0.05,0.217945
0.0888,0.05,0.217945
0.0889,0.05,0.217945
0.089,0.05,0.217945
0.0891,0.05,0.217945
0.0892,0.05,0.217945
0.0893,0.05,0.217945
0.0894,0.05,0.217945
0.0895,0.05,0.217945
0.0896,0.05,0.217945
0.0897,0.05,0.217945
0.0898,0.05,0.217945
0.0899,0.05,0.217945
0.09,0.05,0.217945
0.0901,0.05,0.217945
0.0902,0.05,0.217945
0.0903,0.05,0.217945
0.0904,0.05,0.217945
0.0905,0.05,0.217945
0.0906,0.05,0.217945
0.0907,0.05,0.217945
0.0908,0.05,0.217945
0.0909,0.05,0.217945
0.091,0.05,0.217945
0.0911,0.05,0.217945
0.0912,0.05,0.217945
0.0913,0.05,0.217945
0.0914,0.05,0.217945
0.0915,0.05,0.217945
0.0916,0.05,0.217945
0.0917,0.05,0.217945
0.0918,0.05,0.217945
0.0919,0.05,0.217945
0.092,0.05,0.217945
0.0921,0.05,0.217945
0.0922,0.05,0.217945
0.0923,0.05,0.217945
0.0924,0.05,0.217945
0.0925,0.05,0.217945
0.0926,0.05,0.217945
0.0927,0.05,0.217945
0.0928,0.05,0.217945
0.0929,0.05,0.217945
0.093,0.05,0.217945
0.0931,0.05,0.217945
0.0932,0.05,0.217945
0.0933,0.05,0.217945
0.0934,0.05,0.217945
0.0935,0.05,0.217945
0.0936,0.05,0.217945
0.0937,0.05,0.217945
0.0938,0.05,0.217945
0.0939,0.05,0.217945
0.094,0.05,0.217945
0.0941,0.05,0.217945
