time,infectious STD
2.355,6.347881536386765
2.36,6.422421661647575
2.365,6.461423991660043
2.37,6.4209890203924225
2.375,6.486131358521812
2.38,6.44254608054921
2.385,6.431671633409155
2.39,6.400585910680365
2.395,6.447410332839072
2.4,6.5121732163694785
2.405,6.627548566400702
2.41,6.568865959965994
2.415,6.598264923447678
2.42,6.677267405159089
2.425,6.64587089853542
2.43,6.6733125207800645
2.435,6.667083320313314
2.44,6.71621172983699
2.445,6.724960966429474
2.45,6.781408408288058
2.455,6.796940488190258
2.46,6.844698678539472
2.465,6.8731361109758335
2.47,6.9092980830182755
2.475,6.907503166846904
2.48,6.894954677153431
2.485,6.924420553374847
2.49,6.967603605257693
2.495,6.958563070059795
2.5,6.922217852682765
2.505,7.004134493283235
2.51,6.993389736029302
2.515,7.082626631412953
2.52,7.088469510409144
2.525,7.105568239064346
2.53,7.116874313910565
2.535,7.136413665140214
2.54,7.133547504573022
2.545,7.120919884396958
2.55,7.143185563878348
2.555,7.156144213191905
2.56,7.14799972020145
2.565,7.177541361775634
2.57,7.234638899074369
2.575,7.2236486625527405
2.58,7.252440968391263
2.585,7.211456163632975
2.59,7.293833011524188
2.595,7.383657630199276
2.6,7.398216001172173
2.605,7.383623771563662
2.61,7.413501197140255
2.615,7.4404300950953095
2.62,7.520079786810775
2.625,7.513427979291477
2.63,7.49983333148144
2.635,7.480802096032214
2.64,7.516142627704719
2.645,7.518849646056235
2.65,7.51068572102441
2.655,7.566895003896909
2.66,7.599105210483668
2.665,7.62299153875957
2.67,7.637349016510899
2.675,7.6648483350944385
2.68,7.704777738520431
2.685,7.707373093343802
2.69,7.749703220123981
2.695,7.776888838089432
2.7,7.815439846867226
2.705,7.833900688673554
2.71,7.818030442509162
2.715,7.792785124716323
2.72,7.8115555429120525
2.725,7.846655338422864
2.73,7.890095056461613
2.735,7.887864096192327
2.74,7.892933548434319
2.745,7.904751735506943
2.75,7.882258559575424
2.755,7.896049645234004
2.76,7.852458213833421
2.765,7.861780968711862
2.77,7.802204816588709
2.775,7.80345436329322
2.78,7.774696135541245
2.785,7.778971654402657
2.79,7.806016910050861
2.795,7.815439846867225
2.8,7.829278383095084
2.805,7.913001958801726
2.81,7.887965517166008
2.815,7.936523168239351
2.82,7.9441802597876645
2.825,7.814723283648631
2.83,7.7271987162231035
2.835,7.765925572653911
2.84,7.815369473031971
2.845,7.87339824980294
2.85,7.845629356527111
2.855,7.857855941667547
2.86,7.906958960308315
2.865,7.9532634811126455
2.87,7.954439012274845
2.875,7.96353564693472
2.88,7.922146173859708
2.885,8.006715931016911
2.89,8.036784182743743
2.895,8.007271695153102
2.9,7.999068695792029
2.905,7.981854421122953
2.91,8.026555923931507
2.915,8.051552645297678
2.92,8.028349768165311
2.925,8.019844138136351
2.93,8.048627212139968
2.935,8.113020399333406
2.94,8.118768379501907
2.945,8.15825348956503
2.95,8.203755237694505
2.955,8.280362310913695
2.96,8.246429530408903
2.965,8.32045671823368
2.97,8.395349903369127
2.975,8.445182058428344
2.98,8.445939852970776
2.985,8.402642441518026
2.99,8.41818864126957
2.995,8.442890500296684
3.0,8.434281237900478
3.005,8.376508819311299
3.01,8.33673197362132
3.015,8.322115115762339
3.02,8.271057973439673
3.025,8.27755398653491
3.03,8.307562819503685
3.035,8.34731094425025
3.04,8.34491461909587
3.045,8.318287083288244
3.05,8.284992456242795
3.055,8.262995824759928
3.06,8.331866537577277
3.065,8.326559913914028
3.07,8.281660461525819
3.075,8.307827634225447
3.08,8.356650046519837
3.085,8.310108302543352
3.09,8.350395200228549
3.095,8.36530931884769
3.1,8.369534037209
3.105,8.373553606444519
3.11,8.420991628068515
3.115,8.385576903230925
3.12,8.329051566655114
3.125,8.433095517068452
3.13,8.446650223609359
3.135,8.518984681286849
3.14,8.56375501751422
3.145,8.532033755207488
3.15,8.502940667792528
3.155,8.528985871720037
3.16,8.45502808984098
3.165,8.443790617963
3.17,8.451100520050629
3.175,8.418883536431656
3.18,8.437084804599277
3.185,8.451650726337428
3.19,8.489994110716452
3.195,8.47622557510122
3.2,8.537189232997006
3.205,8.530996424802908
3.21,8.548748446410155
3.215,8.587543304112065
3.22,8.607113337234498
3.225,8.656073012631072
3.23,8.662239895084875
3.235,8.68363978985771
3.24,8.724310861036535
3.245,8.77031356337959
3.25,8.768551761836159
3.255,8.830011325021049
3.26,8.781224288218588
3.265,8.784640004006997
3.27,8.866673558894561
3.275,8.853310115431404
3.28,8.849694909995488
3.285,8.88101345568173
3.29,8.846038661457454
3.295,8.885403761225485
3.3,8.894695048173375
3.305,8.927687270508532
3.31,8.897072552249982
3.315,8.987163067397855
3.32,8.981447544800337
3.325,8.978747128636604
3.33,8.918721881525402
3.335,8.969609801992505
3.34,8.978167964568273
